bag_ID,rhodo_acer,DM_start_g,DM_end_g,tin_g,tin_DM_g,tin_ash_g,date_dep,date_coll,stream,QC,hole,Notes
C0097,R,5.08,NA,NA,NA,NA,8/31/18,11/2/18,CWCR,,,START YEAR 2
C0098,R,4.93,0.9,3.6301,4.3129,3.6701,8/31/18,11/2/18,CWCR,,hole,HOLE
C0099,R,4.92,NA,NA,NA,NA,8/31/18,11/2/18,CWCR,,hole,HOLE
C0100,R,4.99,0.6,3.6182,4.2005,3.6565,8/31/18,11/2/18,CWCR,,hole,HOLE
C0101,R,5.1,3.16,3.6262,6.7602,3.8711,8/31/18,11/2/18,WS09,,,
C0102,R,4.94,3,3.518,6.5159,3.7103,8/31/18,11/2/18,WS09,,,
C0103,R,5.09,2.74,3.6296,6.3401,3.8214,8/31/18,11/2/18,WS09,,,
C0104,R,4.94,2.77,3.5272,6.2878,3.9176,8/31/18,11/2/18,WS09,,,
C0105,R,4.95,3.08,3.664,6.7342,3.8855,8/31/18,11/2/18,HNCR,,,
C0106,R,5.02,3.43,3.6025,6.9903,3.8516,8/31/18,11/2/18,HNCR,,,
C0107,R,5.09,3.04,3.5453,6.552,3.7696,8/31/18,11/2/18,HNCR,,,
C0108,R,4.96,3.03,3.6241,6.6536,3.8502,8/31/18,11/2/18,HNCR,,,
C0109,R,4.98,3.27,3.5283,6.7718,3.7513,8/31/18,11/2/18,WS55,,,
C0110,R,4.9,3.33,3.5273,6.8466,3.7406,8/31/18,11/2/18,WS55,,,
C0111,R,4.95,3.15,3.5334,6.6931,3.715,8/31/18,11/2/18,WS55,,,
C0112,R,4.97,3.27,3.613,6.7452,3.8191,8/31/18,11/2/18,WS55,,,
C0113,R,5.09,3.91,3.5189,7.5077,3.7839,8/31/18,11/2/18,TOWR,,,
C0114,R,4.91,3.6,3.641,7.2178,3.8548,8/31/18,11/2/18,TOWR,,,
C0115,R,5,3.72,3.6593,7.3672,3.9335,8/31/18,11/2/18,TOWR,,,
C0116,R,4.9,3.39,3.5126,6.9038,3.7489,8/31/18,11/2/18,TOWR,,,
C0117,R,5.04,2.35,3.6363,5.9982,3.8434,8/31/18,11/2/18,WS17,,,
C0118,R,4.92,2.17,3.5342,5.696,3.8015,8/31/18,11/2/18,WS17,,,
C0119,R,4.9,2.65,3.5457,6.1535,3.7277,8/31/18,11/2/18,WS17,,,
C0120,R,4.93,2.18,3.649,5.7384,3.7952,8/31/18,11/2/18,WS17,,,
C0121,R,5.08,2.93,3.66,6.5796,NA,8/31/18,11/2/18,WS37,,,
C0122,R,5.09,3.14,3.5292,6.6616,3.7205,8/31/18,11/2/18,WS37,,,
C0123,R,4.92,3.12,3.5456,6.5753,3.7528,8/31/18,11/2/18,WS37,,,
C0124,R,4.95,2.88,3.5553,6.4166,3.8466,8/31/18,11/2/18,WS37,,,
C0125,R,5.01,NA,NA,NA,NA,8/31/18,11/2/18,WS34,,,
C0126,R,5.05,3.1,3.6111,6.7097,3.863,8/31/18,11/2/18,WS34,,,
C0127,R,5.04,3.7,3.6432,7.1943,3.8931,8/31/18,11/2/18,WS34,,,
C0128,R,5,3.3,3.5332,6.7729,3.8862,8/31/18,11/2/18,WS34,,,
C0129,R,5.02,3.5,3.6468,7.1386,3.8462,8/31/18,11/2/18,LCCR,,,
C0130,R,4.93,3.34,3.5125,6.8581,3.7243,8/31/18,11/2/18,LCCR,,,
C0131,R,5.01,3.63,3.6697,7.2761,3.8911,8/31/18,11/2/18,LCCR,,,
C0132,R,4.97,3.69,3.6616,7.348,3.8901,8/31/18,11/2/18,LCCR,,,
C0133,R,5.05,2.33,3.5309,5.8549,3.6934,8/31/18,11/2/18,USHF,,,
C0134,R,5.07,1.32,3.6126,4.9449,3.6934,8/31/18,11/2/18,USHF,,,
C0135,R,4.97,2.94,3.6305,6.5558,3.8411,8/31/18,11/2/18,USHF,,hole,hole
C0136,R,4.97,2.52,3.6507,6.176,3.8014,8/31/18,11/2/18,USHF,,,
C0145,A,5.03,0.07,3.5715,3.6242,3.608,8/31/18,11/2/18,WS17,,,
C0146,A,4.98,0.0176,3.6297,3.6473,3.6317,8/31/18,11/2/18,WS17,,,
C0147,A,5.09,0.43,3.6131,4.0296,3.6673,8/31/18,11/2/18,WS17,,,
C0148,A,4.94,0.024,3.6431,3.6671,3.6477,8/31/18,11/2/18,WS17,,,
C0149,A,5.01,0.65,3.6481,4.2884,3.8199,8/31/18,11/2/18,HNCR,,,
C0150,A,5.07,0.94,3.5269,4.466,3.6431,8/31/18,11/2/18,HNCR,,,
C0151,A,4.94,2.01,3.5487,5.5515,3.8285,8/31/18,11/2/18,HNCR,,,
C0152,A,5.08,0.85,3.5418,4.3842,3.647,8/31/18,11/2/18,HNCR,,,
C0153,A,4.95,0.98,3.538,4.6173,3.7562,8/31/18,11/2/18,WS55,,,
C0154,A,5.08,1.33,3.5503,4.8479,3.7663,8/31/18,11/2/18,WS55,,,
C0155,A,5.1,1.15,3.6582,4.8071,4.0126,8/31/18,11/2/18,WS55,,,
C0156,A,4.95,0.56,3.5269,4.0868,3.6315,8/31/18,11/2/18,WS55,,,
C0157,A,4.9,0.53,3.5284,4.0556,3.5862,8/31/18,11/2/18,USHF,,,
C0158,A,4.93,1.23,3.5536,4.766,3.6747,8/31/18,11/2/18,USHF,,,
C0159,A,5,1.28,3.5395,4.8233,3.6706,8/31/18,11/2/18,USHF,,,
C0160,A,4.98,1.8,3.6184,5.4046,,8/31/18,11/2/18,USHF,,,
C0161,A,5.03,0.96,3.644,4.5678,3.8644,8/31/18,11/2/18,WS34,,,
C0162,A,4.92,0.55,3.632,4.1946,3.7288,8/31/18,11/2/18,WS34,,,
C0163,A,5.09,0.39,3.6117,3.9774,3.7273,8/31/18,11/2/18,WS34,,,
C0164,A,4.95,1.78,3.5191,5.2821,3.8827,8/31/18,11/2/18,WS34,,,
C0165,A,5.02,1.17,3.5503,4.7222,3.6885,8/31/18,11/2/18,LCCR,,,
C0166,A,4.99,1.25,3.5229,4.8008,3.7643,8/31/18,11/2/18,LCCR,,,
C0167,A,4.99,0.54,3.5353,3.8894,3.5793,8/31/18,11/2/18,LCCR,,hole,HOLE
C0168,A,4.99,1.22,3.5327,4.7474,3.7855,8/31/18,11/2/18,LCCR,,,
C0169,A,5.01,0.64,3.6152,4.259,3.7135,8/31/18,11/2/18,WS37,,,
C0170,A,4.95,0.94,3.6629,4.5636,3.7931,8/31/18,11/2/18,WS37,,,
C0171,A,4.93,0.16,3.5523,3.7106,3.5915,8/31/18,11/2/18,WS37,,,
C0172,A,5.05,0.28,3.6326,3.9087,3.6835,8/31/18,11/2/18,WS37,,,
C0173,A,4.97,0.25,3.5333,3.7895,3.5583,8/31/18,11/2/18,CWCR,,,
C0174,A,5.08,NA,NA,NA,NA,8/31/18,11/2/18,CWCR,,,
C0175,A,5,0.35,3.675,4.0045,3.7167,8/31/18,11/2/18,CWCR,,,
C0176,A,5.09,1.23,3.6167,4.656,3.7798,8/31/18,11/2/18,CWCR,,,
C0177,A,4.98,0.07,3.537,3.5946,NA,8/31/18,12/5/18,WS09,QC,,ACC LEFT OUT FOR 3 MONTHS…
C0178,A,4.98,NA,NA,NA,NA,8/31/18,12/5/18,WS09,QC,,ACC LEFT OUT FOR 3 MONTHS…
C0179,A,5.01,NA,NA,NA,NA,8/31/18,12/5/18,WS09,QC,,ACC LEFT OUT FOR 3 MONTHS…
C0180,A,5.07,NA,NA,NA,NA,8/31/18,12/5/18,WS09,QC,,ACC LEFT OUT FOR 3 MONTHS…
C0181,A,4.92,1.18,3.5913,4.7945,3.7365,8/31/18,11/2/18,TOWR,,,
C0182,A,4.98,0.79,3.6466,4.4158,3.806,8/31/18,11/2/18,TOWR,,,
C0183,A,5.02,0.84,3.6193,4.4557,3.7449,8/31/18,11/2/18,TOWR,,,
C0184,A,5.01,0.61,3.5431,4.155,3.6191,8/31/18,11/2/18,TOWR,,,
C0193,R,5.1,3.99,3.6674,3.7701,3.84,9/28/18,12/5/18,LCCR,,,????
C0194,R,4.94,3.35,3.6555,5.852,3.772,9/28/18,12/5/18,LCCR,,,
C0195,R,4.99,2.47,3.5347,5.2301,3.6404,9/28/18,12/5/18,LCCR,,,
C0196,R,5.05,3.9,3.6718,6.5697,3.8376,9/28/18,12/5/18,LCCR,,,
C0197,R,5.07,4.04,3.5342,6.2248,3.6873,9/28/18,12/5/18,WS55,,,
C0198,R,5.02,3.68,3.5275,5.9217,3.6737,9/28/18,12/5/18,WS55,,,
C0199,R,5.05,4.05,3.6459,7.002,3.8365,9/28/18,12/5/18,WS55,,,
C0200,R,4.93,4,3.6575,6.9907,3.8381,9/28/18,12/5/18,WS55,,,
C0201,R,4.99,3.81,3.633,5.5321,3.767,9/28/18,12/5/18,WS37,,,
C0202,R,4.93,3.58,3.5757,6.8185,3.7683,9/28/18,12/5/18,WS37,,,
C0203,R,4.95,3.46,3.6076,5.9739,3.7717,9/28/18,12/5/18,WS37,,,
C0204,R,5.06,3.88,3.5559,6.7297,3.739,9/28/18,12/5/18,WS37,,,
C0205,R,5.09,1.88,3.6554,5.2737,3.7526,9/28/18,12/5/18,USHF,,,
C0206,R,5.09,3.26,3.6634,5.9449,3.7938,9/28/18,12/5/18,USHF,,,
C0207,R,5.07,2.98,3.5363,5.5735,3.6633,9/28/18,12/5/18,USHF,,,
C0208,R,4.97,3.28,3.5123,5.8005,3.6747,9/28/18,12/5/18,USHF,,,
C0209,R,4.95,4.31,3.6485,4.8137,3.726,9/28/18,12/5/18,WS34,,,
C0210,R,5.04,4.25,3.6184,6.8262,3.7919,9/28/18,12/5/18,WS34,,,
C0211,R,5.09,4.48,3.6459,6.639,3.8272,9/28/18,12/5/18,WS34,,,
C0212,R,5.04,4.16,3.6445,7.0551,3.8339,9/28/18,12/5/18,WS34,,,
C0213,R,5.02,4.09,3.5302,6.0519,3.6759,9/28/18,12/5/18,TOWR,,,
C0214,R,4.98,4.09,3.5566,6.4635,3.7269,9/28/18,12/5/18,TOWR,,,
C0215,R,5.1,4.01,3.5441,4.819,3.6862,9/28/18,12/5/18,TOWR,,,
C0216,R,5,3.93,3.5343,6.2815,3.6784,9/28/18,12/5/18,TOWR,,,
C0217,R,4.97,3.94,3.6425,6.2814,3.7886,9/28/18,12/5/18,HNCR,,,
C0218,R,4.99,4.26,3.5565,4.3821,3.609,9/28/18,12/5/18,HNCR,,,
C0219,R,5.02,3.98,3.5556,6.0911,3.7243,9/28/18,12/5/18,HNCR,,,
C0220,R,5.07,3.79,3.5444,6.7996,3.7181,9/28/18,12/5/18,HNCR,,,
C0221,R,4.94,3.09,3.503,4.7498,3.5993,9/28/18,12/5/18,WS17,,,
C0222,R,4.98,3.42,3.6384,6.1401,3.7972,9/28/18,12/5/18,WS17,,,
C0223,R,5.08,3.17,3.6535,5.6326,3.7954,9/28/18,12/5/18,WS17,,,
C0224,R,4.97,3.09,3.5518,5.9353,3.7089,9/28/18,12/5/18,WS17,,,
C0225,R,5.03,3.74,3.6573,3.7788,3.8389,9/28/18,12/5/18,WS09,,,????
C0226,R,5.02,4.02,3.629,6.7144,3.8152,9/28/18,12/5/18,WS09,,,
C0227,R,5.08,4.06,3.6848,6.3676,3.8257,9/28/18,12/5/18,WS09,,,
C0228,R,4.92,3.8,3.6493,6.6136,3.8117,9/28/18,12/5/18,WS09,,,
C0229,R,5.1,3.78,3.648,6.3362,3.821,9/28/18,12/5/18,CWCR,,,
C0230,R,4.98,3.61,3.6498,6.3199,3.7762,9/28/18,12/5/18,CWCR,,,
C0231,R,4.96,3.6,3.5463,6.2468,3.7207,9/28/18,12/5/18,CWCR,,,
C0232,R,4.9,3.2,3.5277,6.1408,3.6614,9/28/18,12/5/18,CWCR,,,
C0241,A,5.01,1.55,3.5445,4.6439,3.6711,9/28/18,12/5/18,WS55,,,
C0242,A,5.01,1.93,3.5123,4.7142,3.717,9/28/18,12/5/18,WS55,,,
C0243,A,4.95,2.27,3.6546,4.8432,3.7737,9/28/18,12/5/18,WS55,,,
C0244,A,5.04,2.56,3.6039,5.1674,3.7979,9/28/18,12/5/18,WS55,,,
C0245,A,4.97,1.09,3.6226,4.1743,3.6685,9/28/18,12/5/18,LCCR,,,
C0246,A,5.07,2.01,3.6773,5.0019,3.8236,9/28/18,12/5/18,LCCR,,,
C0247,A,4.95,1.66,3.5116,4.5928,3.6692,9/28/18,12/5/18,LCCR,,,
C0248,A,5.02,2.66,3.5449,5.0174,3.7252,9/28/18,12/5/18,LCCR,,,
C0249,A,5.03,1.91,3.5271,5.0128,3.7052,9/28/18,12/5/18,WS37,,,
C0250,A,5.07,NA,NA,NA,NA,9/28/18,12/5/18,WS37,,,
C0251,A,5,1.75,3.6486,4.9414,3.835,9/28/18,12/5/18,WS37,,,
C0252,A,4.96,1.4,3.5216,4.3514,3.5984,9/28/18,12/5/18,WS37,,,
C0253,A,4.99,2.01,3.5317,4.3999,3.6208,9/28/18,12/5/18,HNCR,,,
C0254,A,5.1,2.2,3.6372,5.1738,3.7749,9/28/18,12/5/18,HNCR,,,
C0255,A,4.96,2.18,3.5295,4.8985,3.6979,9/28/18,12/5/18,HNCR,,,
C0256,A,4.91,1.39,3.5474,4.473,3.651,9/28/18,12/5/18,HNCR,,,
C0257,A,5.06,1.99,3.5481,5.0331,3.7344,9/28/18,12/5/18,WS34,,,
C0258,A,5,2,3.6603,4.9606,3.7959,9/28/18,12/5/18,WS34,,,
C0259,A,4.94,2.9,3.609,5.6533,4.0689,9/28/18,12/5/18,WS34,,,
C0260,A,5.06,2.56,3.6112,5.1299,3.8425,9/28/18,12/5/18,WS34,,,
C0261,A,4.96,0.65,3.673,4.1687,3.7563,9/28/18,12/5/18,WS17,,,
C0262,A,5.01,0.12,3.6484,3.6431,3.5751,9/28/18,12/5/18,WS17,,,
C0263,A,4.92,0.14,3.5347,3.6511,3.5466,9/28/18,12/5/18,WS17,,,
C0264,A,5.09,0.53,3.6301,3.9409,3.6811,9/28/18,12/5/18,WS17,,,
C0265,A,4.98,NA,NA,NA,NA,9/28/18,12/5/18,USHF,,,lost
C0266,A,4.91,NA,NA,NA,NA,9/28/18,12/5/18,USHF,,,lost
C0267,A,4.94,NA,NA,NA,NA,9/28/18,12/5/18,USHF,,,lost
C0268,A,5.02,NA,NA,NA,NA,9/28/18,12/5/18,USHF,,,lost
C0269,A,5,0.99,3.6488,4.1967,3.7229,9/28/18,12/5/18,CWCR,,,
C0270,A,5.02,0.07,3.5299,3.6035,3.5368,9/28/18,12/5/18,CWCR,,,
C0271,A,5.01,0.88,3.6152,4.226,3.68,9/28/18,12/5/18,CWCR,,,
C0272,A,4.92,1.48,3.5168,4.7847,3.7102,9/28/18,12/5/18,CWCR,,,
C0273,A,4.92,1.61,3.5344,5.16,3.7654,9/28/18,11/2/18,WS09,QC,,left out for 1 month only
C0274,A,5.04,2.24,3.5496,5.7712,3.803,9/28/18,11/2/18,WS09,QC,,left out for 1 month only
C0275,A,4.96,2.05,3.6021,5.6245,3.8388,9/28/18,11/2/18,WS09,QC,,left out for 1 month only
C0276,A,4.99,2.02,3.5202,4.9634,3.6805,9/28/18,11/2/18,WS09,QC,,left out for 1 month only
C0277,A,4.94,2.18,3.5442,4.0756,3.5978,9/28/18,12/5/18,TOWR,,,
C0278,A,4.98,2.06,3.5211,4.82,3.6395,9/28/18,12/5/18,TOWR,,,
C0279,A,4.97,2.18,3.6422,4.7389,3.7804,9/28/18,12/5/18,TOWR,,,
C0280,A,5.02,2.02,3.5192,4.4098,3.6226,9/28/18,12/5/18,TOWR,,,
C0289,R,5.04,4.41,3.5396,7.9138,3.9507,11/2/18,1/7/19,WS34,,,
C0290,R,5.03,4.43,3.5057,7.9086,3.9491,11/2/18,1/7/19,WS34,,,
C0291,R,4.97,4.26,3.6664,7.8965,4.0596,11/2/18,1/7/19,WS34,,,
C0292,R,4.9,4.26,3.5171,7.7309,3.8166,11/2/18,1/7/19,WS34,,,
C0293,R,5.07,3.22,3.6126,6.9146,3.8157,11/2/18,1/7/19,WS09,,,
C0294,R,4.97,3.89,3.6352,7.5311,3.9716,11/2/18,1/7/19,WS09,,,
C0295,R,5.09,3.32,3.5297,6.7783,3.7201,11/2/18,1/7/19,WS09,,,
C0296,R,5.04,0.81,3.6437,4.437,3.684,11/2/18,1/7/19,WS09,,,
C0297,R,4.92,4.12,3.6094,7.7541,3.8754,11/2/18,1/7/19,WS55,,,
C0298,R,5.01,4.29,3.6672,7.926,4.0007,11/2/18,1/7/19,WS55,,,
C0299,R,4.92,4.1,3.5206,7.6353,3.7288,11/2/18,1/7/19,WS55,,,
C0300,R,4.98,4.14,3.6012,7.7567,3.8596,11/2/18,1/7/19,WS55,,,
C0301,R,5,2.95,3.6116,6.5114,3.8152,11/2/18,1/7/19,WS17,,,
C0302,R,4.96,3.87,3.6011,7.4267,3.8507,11/2/18,1/7/19,WS17,,,
C0303,R,4.98,2.64,3.5388,6.1804,3.6903,11/2/18,1/7/19,WS17,,,
C0304,R,4.94,2.05,3.527,5.5637,3.6581,11/2/18,1/7/19,WS17,,,
C0305,R,5.06,2.38,3.5281,5.8869,3.6611,11/2/18,1/7/19,USHF,,,
C0306,R,5.05,3.05,3.6475,6.6451,3.8448,11/2/18,1/7/19,USHF,,hole,holes in bag
C0307,R,4.9,NA,NA,NA,NA,11/2/18,1/7/19,USHF,,,
C0308,R,5.08,NA,NA,NA,NA,11/2/18,1/7/19,USHF,,,
C0309,R,5.08,4.24,3.5557,7.7826,3.8507,11/2/18,1/7/19,HNCR,,,
C0310,R,4.93,4.13,3.527,7.6539,3.7782,11/2/18,1/7/19,HNCR,,,
C0311,R,5.03,4.36,3.6191,7.8112,3.8798,11/2/18,1/7/19,HNCR,,,
C0312,R,5.08,4.08,3.6518,7.7292,3.8903,11/2/18,1/7/19,HNCR,,,
C0313,R,4.91,4.17,3.5386,7.7017,3.9469,11/2/18,1/7/19,WS37,,,
C0314,R,4.91,3.64,3.6202,7.2667,3.953,11/2/18,1/7/19,WS37,,,
C0315,R,4.99,3.97,3.5498,7.5144,3.8354,11/2/18,1/7/19,WS37,,,
C0316,R,4.98,3.78,3.5332,7.3125,3.8712,11/2/18,1/7/19,WS37,,,
C0317,R,5.06,4.04,3.6974,7.757,3.9282,11/2/18,1/7/19,LCCR,,,
C0318,R,4.97,3.16,3.53,6.6761,3.8207,11/2/18,1/7/19,LCCR,,,
C0319,R,5.01,4.3,3.5212,7.727,3.7502,11/2/18,1/7/19,LCCR,,,
C0320,R,4.92,3.99,3.5481,7.5988,3.7583,11/2/18,1/7/19,LCCR,,,
C0321,R,5.06,1.98,3.5923,5.6112,3.715,11/2/18,1/7/19,CWCR,,,
C0322,R,4.93,NA,NA,NA,NA,11/2/18,1/7/19,CWCR,,,
C0323,R,4.91,NA,NA,NA,NA,11/2/18,1/7/19,CWCR,,,
C0324,R,4.99,NA,NA,NA,NA,11/2/18,1/7/19,CWCR,,,
C0325,R,4.95,4.25,3.5413,7.7522,3.7816,11/2/18,1/7/19,TOWR,,,
C0326,R,4.92,4.32,3.6711,7.9872,4.0132,11/2/18,1/7/19,TOWR,,,
C0327,R,4.92,4.19,3.6154,7.8193,3.8792,11/2/18,1/7/19,TOWR,,,
C0328,R,5.08,4.26,3.6153,7.8972,3.8853,11/2/18,1/7/19,TOWR,,,
C0337,A,5.07,2.31,3.6328,6.0018,4.12,11/2/18,1/7/19,TOWR,,,
C0338,A,5.02,1.16,3.6505,4.8242,3.8045,11/2/18,1/7/19,TOWR,,,
C0339,A,5.09,2.95,3.5543,6.5551,4.1566,11/2/18,1/7/19,TOWR,,,
C0340,A,5.04,2.85,3.6023,6.4705,4.1492,11/2/18,1/7/19,TOWR,,,
C0341,A,5,1.27,3.5092,4.7883,3.7796,11/2/18,1/7/19,WS09,,,
C0342,A,4.9,1.53,3.54,4.9794,3.8156,11/2/18,1/7/19,WS09,,,
C0343,A,5.04,1.61,3.5329,5.1149,3.8537,11/2/18,1/7/19,WS09,,,
C0344,A,5.06,1.27,3.5365,4.814,3.7335,11/2/18,1/7/19,WS09,,,
C0345,A,4.98,0.36,3.544,3.838,3.6175,11/2/18,1/7/19,WS17,,,
C0346,A,4.97,1.62,3.5256,5.1039,3.7316,11/2/18,1/7/19,WS17,,,
C0347,A,5.03,0.77,3.5457,4.3049,3.6403,11/2/18,1/7/19,WS17,,,
C0348,A,4.92,0.28,3.5335,3.8347,3.5702,11/2/18,1/7/19,WS17,,,
C0349,A,4.9,1.13,3.6584,4.8196,3.7713,11/2/18,1/7/19,HNCR,,,
C0350,A,4.91,2.1,3.5542,5.6301,3.9574,11/2/18,1/7/19,HNCR,,,
C0351,A,4.93,2.29,3.5133,5.8249,3.8055,11/2/18,1/7/19,HNCR,,,
C0352,A,4.97,2.33,3.6638,6.0625,4.0925,11/2/18,1/7/19,HNCR,,,
C0353,A,4.94,1.32,3.6166,4.9928,3.7027,11/2/18,1/7/19,CWCR,,,
C0354,A,4.96,0.66,3.5189,4.1829,3.5746,11/2/18,1/7/19,CWCR,,,
C0355,A,4.99,1.27,3.5419,4.9474,3.762,11/2/18,1/7/19,CWCR,,,
C0356,A,4.96,1.36,3.6686,5.0319,3.8675,11/2/18,1/7/19,CWCR,,,
C0357,A,4.99,2.32,3.5334,5.8622,4.0004,11/2/18,1/7/19,WS34,,,
C0358,A,5.01,2.71,3.6327,6.3429,4.2216,11/2/18,1/7/19,WS34,,,
C0359,A,4.91,1.74,3.5546,5.3029,3.8126,11/2/18,1/7/19,WS34,,,
C0360,A,4.94,2.46,3.5243,5.9764,4.3931,11/2/18,1/7/19,WS34,,,
C0361,A,4.96,2.89,3.5204,6.421,3.9772,11/2/18,1/7/19,WS55,,,
C0362,A,4.93,2.46,3.6429,6.0922,3.9936,11/2/18,1/7/19,WS55,,,
C0363,A,5.02,2.44,3.525,5.961,3.8427,11/2/18,1/7/19,WS55,,,
C0364,A,5,2.38,3.548,5.9562,3.9047,11/2/18,1/7/19,WS55,,,
C0365,A,4.97,1.82,3.6471,5.4857,3.89,11/2/18,1/7/19,WS37,,,
C0366,A,4.94,1.75,3.6319,5.3499,3.8801,11/2/18,1/7/19,WS37,,,
C0367,A,4.9,2.04,3.6369,5.6472,4.001,11/2/18,1/7/19,WS37,,,
C0368,A,5,1.7,3.5237,5.2226,3.768,11/2/18,1/7/19,WS37,,,
C0369,A,5.03,0.08,3.6299,3.7083,3.6377,11/2/18,1/7/19,USHF,,,
C0370,A,4.9,0.75,3.5537,4.2971,3.6871,11/2/18,1/7/19,USHF,,,
C0371,A,4.99,1.38,3.6435,5.055,3.8566,11/2/18,1/7/19,USHF,,,
C0372,A,4.97,NA,NA,NA,NA,11/2/18,1/7/19,USHF,,,
C0373,A,4.98,1.48,3.5535,5.0395,3.7122,11/2/18,1/7/19,LCCR,,,
C0374,A,4.93,2.22,3.6641,5.851,4.0654,11/2/18,1/7/19,LCCR,,,
C0375,A,4.92,4.25,3.6503,7.9085,4.3785,11/2/18,1/7/19,LCCR,,,
C0376,A,4.91,2.1,3.5232,5.6208,3.7329,11/2/18,1/7/19,LCCR,,,
C0001,R,4.97,3.18,3.5512,6.0632,3.7099,12/5/18,2/6/19,USHF,,,
C0002,R,4.9,2.4,3.6296,5.56,3.7367,12/5/18,2/6/19,USHF,,,
C0003,R,4.92,2.49,3.5265,5.6648,3.673,12/5/18,2/6/19,USHF,,,
C0004,R,4.99,3.72,3.5255,6.44,3.7189,12/5/18,2/6/19,USHF,,,
C0005,R,5.06,2.81,3.5267,5.6445,3.6561,12/5/18,2/6/19,CWCR,,,
C0006,R,4.98,2.78,3.5338,5.9557,3.6947,12/5/18,2/6/19,CWCR,,,
C0007,R,5.02,1.94,3.5448,5.0997,3.6296,12/5/18,2/6/19,CWCR,,,
C0008,R,4.91,3.22,3.5153,6.0428,3.6581,12/5/18,2/6/19,CWCR,,,
C0009,R,4.99,4.1,3.6336,7.2397,3.8577,12/5/18,2/6/19,WS34,,,
C0010,R,5.05,3.83,3.543,6.6329,3.7426,12/5/18,2/6/19,WS34,,,
C0011,R,5.07,4.16,3.6467,6.5197,3.8267,12/5/18,2/6/19,WS34,,,
C0012,R,5.05,4.09,3.5473,6.6812,3.7445,12/5/18,2/6/19,WS34,,,
C0013,R,4.97,4.39,3.5456,6.6898,3.712,12/5/18,2/6/19,TOWR,,,
C0014,R,5.07,4.25,3.6415,7.5948,3.8586,12/5/18,2/6/19,TOWR,,,
C0015,R,4.97,4.46,3.5411,7.3664,3.7417,12/5/18,2/6/19,TOWR,,,
C0016,R,5,4.41,3.5164,6.8303,3.7064,12/5/18,2/6/19,TOWR,,,
C0017,R,5.02,4.08,3.6304,6.7917,3.8284,12/5/18,2/6/19,LCCR,,,
C0018,R,4.95,3.43,3.6853,6.6701,3.8481,12/5/18,2/6/19,LCCR,,,
C0019,R,4.96,3.87,3.6498,6.8169,3.8451,12/5/18,2/6/19,LCCR,,,
C0020,R,5.04,3.91,3.6195,6.8177,3.7935,12/5/18,2/6/19,LCCR,,,
C0021,R,5.06,4.03,3.6181,6.9892,3.805,12/5/18,2/6/19,WS17,,,
C0022,R,5.01,3.53,3.6474,6.8901,3.8151,12/5/18,2/6/19,WS17,,,
C0023,R,5.07,3.45,3.5917,5.8019,3.7156,12/5/18,2/6/19,WS17,,,
C0024,R,5.05,3.39,3.6102,6.2889,3.7799,12/5/18,2/6/19,WS17,,,
C0025,R,5,NA,NA,NA,NA,12/5/18,2/6/19,WS09,,,
C0026,R,4.9,NA,NA,NA,NA,12/5/18,2/6/19,WS09,,,
C0027,R,4.99,NA,NA,NA,NA,12/5/18,2/6/19,WS09,,,
C0028,R,4.96,NA,NA,NA,NA,12/5/18,2/6/19,WS09,,,
C0029,R,4.93,4.22,3.5391,7.241,3.7413,12/5/18,2/6/19,WS55,,,
C0030,R,4.99,4.34,3.6262,7.5527,3.8356,12/5/18,2/6/19,WS55,,,
C0031,R,4.91,4.08,3.6158,6.7316,3.8028,12/5/18,2/6/19,WS55,,,
C0032,R,5.02,4.11,3.5357,7.317,3.7398,12/5/18,2/6/19,WS55,,,
C0033,R,5.05,3.4,3.5122,6.3262,3.6803,12/5/18,2/6/19,HNCR,,,
C0034,R,5.07,2.7,3.6129,5.7777,3.7233,12/5/18,2/6/19,HNCR,,,
C0035,R,5.02,2.9,3.5521,5.9596,3.6858,12/5/18,2/6/19,HNCR,,,
C0036,R,4.99,3.46,3.5187,6.3175,3.6772,12/5/18,2/6/19,HNCR,,,
C0037,R,4.92,3.94,3.6563,7.2041,3.857,12/5/18,2/6/19,WS37,,,
C0038,R,4.97,3.89,3.6717,6.4845,3.8132,12/5/18,2/6/19,WS37,,,
C0039,R,4.99,4.46,3.6153,7.5176,3.8638,12/5/18,2/6/19,WS37,,,
C0040,R,5.01,4.14,3.5426,7.1461,3.78,12/5/18,2/6/19,WS37,,,
C0049,A,5.03,1.5,3.6493,4.8917,4.1351,12/5/18,2/6/19,WS34,,,
C0050,A,4.92,0.57,3.6635,4.2087,3.7463,12/5/18,2/6/19,WS34,,,
C0051,A,5.01,1.69,3.5263,4.8516,3.6752,12/5/18,2/6/19,WS34,,,
C0052,A,4.91,2.17,3.534,5.4231,3.8613,12/5/18,2/6/19,WS34,,,
C0053,A,4.96,0.99,3.6694,4.3902,3.7183,12/5/18,2/6/19,LCCR,,,
C0054,A,5.07,1.27,3.5267,4.5192,3.6982,12/5/18,2/6/19,LCCR,,,
C0055,A,5.06,1.8,3.5538,5.0062,3.7059,12/5/18,2/6/19,LCCR,,,
C0056,A,4.94,2.84,3.6294,5.6915,4.1506,12/5/18,2/6/19,LCCR,,,
C0057,A,4.9,0.6,3.5571,4.1429,3.6099,12/5/18,2/6/19,WS09,,,
